Hk2,Ddt,Srpk1,Crabp2,Atp5g1,Atp7b,Acot13,Actn1,Kdm6b,Tbx3,Hsf2,Actr2,Mdh1,Id2,Ssr1,Hmgcr,Mapk1ip1l,Dpysl2,Spry2,Oxct1,Zscan26,St13,Twf1,Rrn3,Gsk3b,Sod1,Ndufa5,Mpc1,Pim1,Strn,Impact,Dctn4,Pdcd4,Podxl,Acadl,Igfbp5,Ndufa10,Nmt2,Fubp3,Myef2,Mdk,Sall4,Skil,B4galt1,Mier1,Slc2a1,Gnb1,Actb,Tspan12,Cbx3,Abcc9,Sspn,Cox6a2,Acsl4,Adprhl1,Pkm,Amt,Chsy1,Lrrc58,Prtg,Fxyd1,Alpk3,Zfhx3,Fam60a,Arglu1,Wapl,Smpx,Nppa,Poldip3,Usp22,Alkbh5,X4933415A04Rik,Csnk2a2,Cd24a,Rbm15,Tigd2,Apoo.ps,Cited1,Slc39a1,Map1b,Msi1,Tug1,Hmga2,Ado,Sept11,Ndufs8,Wtap,Myl1,Pcnp,Bnip3,Kdelr2,Trim71,Apoo,Mpc1.ps,Ndufab1.ps,Rps19.ps6,Myl7,pseudotime
GSM2033463,892,73,856,2,677,245,237,142,116,240,113,1273,3057,2255,3402,169,686,5815,291,464,492,2930,849,557,2003,2856,216,130,487,1442,1394,188,358,344,222,3273,740,2030,229,332,827,45,676,192,982,492,2210,5950,319,143,4,16,485,389,69,2849,62,1470,1540,371,93,2652,288,1604,762,624,643,98,2459,2863,295,616,686,282,269,0,3,5,262,3887,21,2627,850,639,1999,295,100,2602,950,987,979,817,181,32,7,39,29524,0.00653864054383124
GSM2033466,94,132,70,0,1014,254,333,12,159,169,155,1354,3794,3983,2264,62,102,6430,279,534,1360,1840,314,662,2213,1619,355,59,302,880,669,763,272,455,4,3582,356,3311,3,302,979,0,313,605,315,957,2561,5764,2030,140,0,5,997,385,1,4698,132,1817,1379,223,326,2594,315,427,530,465,0,0,1727,1804,212,703,28,1412,122,0,8,0,349,2359,29,843,2056,93,1154,124,136,1162,1149,3859,771,514,368,9,2,55,27411,0.00655191047789083
GSM2033468,2044,90,1808,0,2040,424,321,229,289,361,70,557,2588,1433,2799,61,443,8154,69,195,977,3613,1751,5,511,4053,607,257,267,1294,2079,554,292,334,245,2070,456,3696,85,697,276,529,371,218,455,1509,2379,6226,620,158,0,477,988,283,0,1087,90,1264,1241,244,564,2668,516,1114,877,936,87,29,1274,4864,134,1026,813,589,410,0,0,0,229,4391,21,305,1815,2191,477,597,252,1886,1113,1046,864,783,56,40,4,102,54507,0.00656518041195042
GSM2033469,3320,277,8,0,432,261,39,102,58,421,157,1549,1760,861,3627,288,358,2452,283,72,172,1234,580,69,631,2832,357,0,242,5,410,131,217,28,162,4917,769,2807,103,228,1378,2,388,470,1155,616,508,7180,157,37,35,0,367,42,0,2382,121,475,1488,794,108,2215,401,412,876,617,6,0,1871,699,783,45,276,2152,267,0,0,15,519,1604,15,689,828,995,683,202,130,942,577,676,1051,75,2,0,2,18,27426,0.00657845034601001
GSM2033472,2175,616,341,0,872,67,34,1,324,280,578,1311,2663,3002,1574,20,209,3640,2324,43,1084,3673,754,289,2080,4584,601,0,812,1172,1707,454,425,671,98,6499,404,2005,264,229,517,296,383,476,302,959,1749,9745,1317,263,128,0,1122,482,0,3531,20,2221,891,90,498,1814,926,694,663,576,260,0,2480,5097,495,76,408,726,183,0,7,0,380,5817,62,673,1457,93,1610,29,532,2095,819,3489,362,40,286,0,4,50,13232,0.0065917202800696
GSM2033474,5222,128,570,1,1200,233,124,346,61,143,297,800,2566,1775,598,24,443,6946,321,488,1164,2962,304,132,1635,2468,541,64,443,268,1600,54,788,37,10,4571,466,2531,215,152,832,139,321,609,71,2161,1289,9995,998,147,16,51,500,766,0,9415,40,947,498,99,462,2541,264,858,736,204,310,0,2332,2868,209,27,680,331,476,1,6,0,466,4720,18,843,748,556,1,401,317,3522,804,4163,1537,522,371,16,5,65,31267,0.00660499021412919
GSM2033475,734,22,531,12,382,192,135,57,77,887,11,793,4244,1437,1671,374,165,5054,233,390,463,1525,462,461,1684,2139,185,77,525,777,765,49,246,78,76,1017,221,1620,31,83,348,190,276,910,909,1574,720,5334,795,21,98,0,951,87,0,1744,45,859,1225,700,85,2187,325,402,1083,366,1,0,3164,1294,383,390,484,0,379,0,2,0,390,1395,0,963,216,638,1120,278,54,1743,552,94,713,149,44,22,5,24,24598,0.00661826014818878
GSM2033476,1011,92,699,76,892,195,106,191,44,11,40,655,1381,459,656,345,109,2793,46,236,208,706,348,327,1060,2480,156,54,117,293,552,57,92,78,63,288,389,368,82,134,1303,0,159,342,187,981,1148,7879,468,59,1,3,607,22,100,3495,91,332,386,165,274,1112,182,416,447,119,521,260,1544,2809,49,191,377,103,45,11,0,205,100,1112,1,486,312,704,1781,381,17,1182,172,160,858,354,31,10,4,54,27875,0.624481305049385
GSM2033478,3361,82,1982,89,1377,316,307,390,109,571,343,1196,3539,1611,3638,668,517,11415,154,925,634,3128,1378,1229,2033,3267,585,84,661,1107,1559,127,351,352,207,2248,465,1840,408,641,956,753,130,638,813,2064,2416,7177,509,291,87,0,678,334,123,4016,135,2051,958,427,210,2147,333,1500,1471,776,699,266,1969,3570,403,484,624,718,815,21,27,100,285,3688,15,2105,998,839,2083,304,119,1682,966,1859,1053,471,732,25,12,54,40932,0.00663153008224837
GSM2033480,2716,158,679,134,511,145,319,240,125,421,280,1616,2328,2131,3136,683,382,10664,950,700,977,4192,1977,688,2749,2577,290,26,1256,1351,4148,788,141,63,105,3467,712,2291,432,874,610,149,888,686,868,1070,2102,11080,1028,87,1,165,767,388,0,2810,82,2094,1276,539,111,3770,555,957,1012,1083,39,6,1818,1300,781,735,752,504,407,67,2,0,318,3525,36,1121,1487,60,1100,365,209,1608,956,989,1224,395,78,3,5,29,21740,0.00664480001630796
